epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.5412,2.57179,5.97902,4.23841,0.0017,0.09611,0.00122,0.00033,2.61581,7.20039,4.12961,0.0806878,0.000597285,0.000597285
2,79.1118,2.56853,5.71752,4.09276,0.00128,0.15002,0.00102,0.00029,2.65754,8.78403,4.4041,0.0612662,0.00117573,0.00117573
3,117.232,2.59839,5.53591,3.95577,0.00142,0.16606,0.00117,0.00031,2.68427,7.75969,4.32154,0.0418231,0.00173258,0.00173258
4,155.342,2.56359,5.37684,3.81758,0.00195,0.19274,0.00243,0.00066,2.59229,6.41013,3.92555,0.0223583,0.00226783,0.00226783
5,193.351,2.32752,5.06747,3.47471,0.34434,0.15034,0.08175,0.04516,2.17812,5.4587,3.1103,0.00287198,0.00278148,0.00278148
6,231.491,1.70793,4.02465,2.55468,0.19679,0.36934,0.14434,0.10945,1.65013,4.54296,2.36234,0.00273,0.00273,0.00273
7,269.842,1.30206,3.43101,1.98785,0.25026,0.47658,0.18563,0.14847,1.33699,3.73171,1.91186,0.002676,0.002676,0.002676
8,307.997,1.12174,3.09736,1.71162,0.2738,0.45563,0.21604,0.17235,1.20554,3.26532,1.72334,0.002622,0.002622,0.002622
9,346.294,1.00684,2.80772,1.56877,0.21743,0.4753,0.25126,0.20582,1.06853,2.91989,1.57559,0.002568,0.002568,0.002568
10,384.855,0.93795,2.61256,1.46867,0.22335,0.47837,0.24911,0.20207,1.0501,2.79912,1.52048,0.002514,0.002514,0.002514
11,423.282,0.9072,2.49235,1.40935,0.32387,0.4751,0.27615,0.22339,0.99743,2.61046,1.45169,0.00246,0.00246,0.00246
12,461.616,0.8828,2.39671,1.36192,0.28258,0.43355,0.29961,0.2449,0.92962,2.49417,1.3903,0.002406,0.002406,0.002406
13,500.036,0.85628,2.28698,1.3253,0.2831,0.47278,0.31214,0.25284,0.94573,2.41251,1.37664,0.002352,0.002352,0.002352
14,538.287,0.84201,2.21897,1.30865,0.37243,0.44127,0.32665,0.26738,0.88813,2.29098,1.32709,0.002298,0.002298,0.002298
15,576.604,0.82539,2.1212,1.2823,0.2813,0.48131,0.33521,0.26926,0.88713,2.231,1.30812,0.002244,0.002244,0.002244
16,615.031,0.81803,2.05269,1.26847,0.30769,0.49599,0.36594,0.29843,0.8862,2.1673,1.30142,0.00219,0.00219,0.00219
