epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.5776,3.09882,7.16888,3.33904,0.00109,0.26587,0.00141,0.00053,2.65361,7.03105,2.91644,0.0806878,0.000597285,0.000597285
2,78.636,2.23332,5.83812,2.6689,0.00178,0.40687,0.00368,0.00157,2.3265,62.2644,2.85204,0.061277,0.00118651,0.00118651
3,116.737,1.6598,5.05009,2.08072,0.09187,0.03792,0.02406,0.01532,1.74655,20.534,2.12204,0.0418554,0.00176493,0.00176493
4,154.638,1.26578,4.1729,1.59378,0.3624,0.31963,0.14795,0.11331,1.21924,4.09621,1.47978,0.0224231,0.00233256,0.00233256
5,192.382,1.03509,3.53577,1.28594,0.40546,0.36445,0.22396,0.18507,0.97814,3.47755,1.25418,0.00297988,0.00288938,0.00288938
6,230.101,0.92985,3.08071,1.19381,0.3086,0.4329,0.33554,0.27973,0.88073,3.03602,1.15802,0.002865,0.002865,0.002865
7,267.487,0.84651,2.68077,1.13208,0.68902,0.39272,0.47755,0.39831,0.84719,2.57505,1.13437,0.002838,0.002838,0.002838
8,305.152,0.8073,2.34902,1.1006,0.5989,0.47291,0.52215,0.43497,0.80926,2.31559,1.10625,0.002811,0.002811,0.002811
9,342.801,0.77901,2.08809,1.09027,0.72677,0.50762,0.59906,0.50265,0.79062,2.0809,1.08371,0.002784,0.002784,0.002784
10,380.355,0.75237,1.89677,1.06826,0.63114,0.57645,0.63485,0.52878,0.78374,1.93345,1.09524,0.002757,0.002757,0.002757
11,417.843,0.73762,1.74531,1.05805,0.71671,0.57111,0.67514,0.56473,0.75917,1.76462,1.06864,0.00273,0.00273,0.00273
12,455.583,0.71385,1.59833,1.04141,0.74209,0.6067,0.70663,0.59615,0.74776,1.66509,1.0614,0.002703,0.002703,0.002703
13,493.125,0.69871,1.50424,1.02427,0.76409,0.6278,0.71984,0.60149,0.732,1.57502,1.05285,0.002676,0.002676,0.002676
14,530.568,0.69063,1.40395,1.02043,0.80019,0.65205,0.75658,0.63885,0.70002,1.41335,1.02853,0.002649,0.002649,0.002649
15,568.128,0.68096,1.31597,1.01154,0.6829,0.7079,0.75483,0.63391,0.70272,1.40709,1.02339,0.002622,0.002622,0.002622
16,605.847,0.67146,1.26103,1.00833,0.7473,0.74045,0.79072,0.6694,0.69066,1.30829,1.02076,0.002595,0.002595,0.002595
17,643.419,0.66619,1.20218,1.00368,0.82369,0.69051,0.79699,0.67286,0.70376,1.24769,1.02802,0.002568,0.002568,0.002568
18,680.955,0.64925,1.11687,0.99193,0.81607,0.72482,0.81691,0.6876,0.69997,1.16912,1.0292,0.002541,0.002541,0.002541
19,718.554,0.6469,1.07127,0.9876,0.81372,0.7522,0.83462,0.70786,0.68513,1.11982,1.02113,0.002514,0.002514,0.002514
20,756.262,0.63891,1.01458,0.98069,0.86413,0.70723,0.83017,0.70518,0.67516,1.08114,1.00612,0.002487,0.002487,0.002487
21,793.931,0.63253,0.96152,0.9748,0.90566,0.73792,0.85588,0.72802,0.66211,1.02336,0.99855,0.00246,0.00246,0.00246
22,831.669,0.62543,0.93342,0.97134,0.8883,0.77096,0.87332,0.73986,0.67773,0.97734,1.01165,0.002433,0.002433,0.002433
23,869.152,0.62596,0.90069,0.96929,0.88997,0.7508,0.86221,0.72843,0.67711,0.97335,1.00993,0.002406,0.002406,0.002406
24,906.94,0.61733,0.86854,0.96958,0.86531,0.78522,0.87851,0.74507,0.65491,0.91468,0.99861,0.002379,0.002379,0.002379
25,944.62,0.61345,0.82847,0.95961,0.88284,0.76541,0.87134,0.74326,0.65754,0.8944,0.99813,0.002352,0.002352,0.002352
26,982.164,0.60887,0.79916,0.96322,0.87054,0.78724,0.88351,0.7418,0.66316,0.88236,0.99991,0.002325,0.002325,0.002325
27,1019.84,0.60713,0.78221,0.95857,0.9171,0.7709,0.88413,0.75185,0.65506,0.86681,0.99947,0.002298,0.002298,0.002298
28,1057.43,0.60329,0.7498,0.95464,0.90607,0.77289,0.88888,0.75934,0.6391,0.82299,0.9885,0.002271,0.002271,0.002271
