epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.0557,3.12983,7.00058,3.3286,0.00071,0.19545,0.00049,0.00016,2.67553,8.00369,2.93088,0.0806878,0.000597285,0.000597285
2,77.4419,2.15018,5.72935,2.60793,0.00165,0.48453,0.00696,0.0037,2.11033,7.32423,2.45088,0.061277,0.00118651,0.00118651
3,114.836,1.6186,4.71388,2.00576,0.07114,0.30386,0.08958,0.07035,1.51346,5.36854,1.79931,0.0418554,0.00176493,0.00176493
4,152.033,1.26063,4.03197,1.54566,0.15204,0.32797,0.10712,0.08264,1.21631,5.5761,1.48933,0.0224231,0.00233256,0.00233256
5,189.405,1.03726,3.49695,1.28461,0.42065,0.33083,0.21289,0.17461,0.98921,3.54173,1.25266,0.00297988,0.00288938,0.00288938
6,226.703,0.92917,3.06875,1.20052,0.2909,0.44413,0.30692,0.25807,0.90744,3.04312,1.19308,0.002865,0.002865,0.002865
7,263.897,0.86051,2.68443,1.14847,0.4411,0.43802,0.4528,0.3803,0.84256,2.55405,1.13062,0.002838,0.002838,0.002838
8,301.107,0.82025,2.34931,1.10928,0.54241,0.42193,0.49579,0.41788,0.83336,2.42764,1.13585,0.002811,0.002811,0.002811
9,338.369,0.7799,2.09285,1.09144,0.65972,0.48838,0.55616,0.467,0.81584,2.15922,1.10632,0.002784,0.002784,0.002784
10,375.693,0.75697,1.92178,1.07209,0.68492,0.51643,0.59574,0.49388,0.78668,1.96985,1.08966,0.002757,0.002757,0.002757
11,412.809,0.73712,1.76329,1.05988,0.64842,0.61871,0.65597,0.55039,0.75666,1.84855,1.07729,0.00273,0.00273,0.00273
12,449.944,0.72114,1.63731,1.0463,0.68466,0.62778,0.69067,0.58178,0.74832,1.68657,1.05829,0.002703,0.002703,0.002703
13,487.137,0.70778,1.51895,1.02913,0.71452,0.62046,0.71315,0.59365,0.74998,1.60808,1.06362,0.002676,0.002676,0.002676
14,524.389,0.69422,1.43151,1.0235,0.73968,0.66285,0.73085,0.61379,0.73174,1.47806,1.05903,0.002649,0.002649,0.002649
15,561.78,0.68688,1.34404,1.02106,0.76377,0.68712,0.75542,0.64269,0.71283,1.39959,1.03583,0.002622,0.002622,0.002622
16,599.086,0.67957,1.27202,1.01593,0.7847,0.69624,0.77232,0.65927,0.70804,1.2992,1.03765,0.002595,0.002595,0.002595
17,636.31,0.66798,1.22144,1.00965,0.77753,0.72335,0.79679,0.67322,0.7039,1.27365,1.03127,0.002568,0.002568,0.002568
18,673.508,0.65259,1.13612,0.99277,0.78825,0.73803,0.81513,0.694,0.69103,1.18415,1.02067,0.002541,0.002541,0.002541
19,710.745,0.65557,1.10153,0.99573,0.83869,0.7325,0.82684,0.69494,0.7026,1.14953,1.02523,0.002514,0.002514,0.002514
20,747.978,0.64722,1.03605,0.9844,0.79439,0.72235,0.81574,0.68318,0.69632,1.13931,1.02429,0.002487,0.002487,0.002487
21,785.133,0.63664,0.99121,0.98327,0.88389,0.72221,0.84243,0.71146,0.67826,1.05506,1.00903,0.00246,0.00246,0.00246
22,822.275,0.63627,0.95581,0.97786,0.79175,0.77985,0.8504,0.72162,0.67283,0.99924,1.00396,0.002433,0.002433,0.002433
23,859.38,0.6352,0.9269,0.97366,0.89956,0.77261,0.87056,0.73095,0.68423,0.95851,1.01623,0.002406,0.002406,0.002406
24,896.543,0.62413,0.8927,0.97722,0.92337,0.7498,0.87228,0.74116,0.65326,0.93214,0.99541,0.002379,0.002379,0.002379
