epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.4538,2.23625,5.90076,2.6478,0.00257,0.54931,0.00879,0.00411,1.60261,5.73845,1.88444,0.0806878,0.000597285,0.000597285
2,80.3675,1.20213,4.86427,1.53686,0.01387,0.09385,0.01819,0.01343,1.33912,38.8044,1.56002,0.061277,0.00118651,0.00118651
3,119.18,1.03964,4.42041,1.28999,0.157,0.38965,0.09375,0.07818,1.00241,4.80613,1.22951,0.0418554,0.00176493,0.00176493
4,157.65,0.91714,3.78114,1.17189,0.2499,0.34266,0.17949,0.1527,0.89034,3.59917,1.1656,0.0224231,0.00233256,0.00233256
5,195.989,0.83296,3.09113,1.12114,0.33273,0.46752,0.35038,0.29675,0.84919,2.95596,1.14501,0.00297988,0.00288938,0.00288938
6,234.312,0.79054,2.62031,1.09412,0.49502,0.43886,0.46897,0.39861,0.77193,2.47148,1.09245,0.002865,0.002865,0.002865
7,272.896,0.75705,2.27703,1.07182,0.57679,0.49455,0.55223,0.46704,0.78107,2.25339,1.09982,0.002838,0.002838,0.002838
8,311.388,0.72985,2.01747,1.05252,0.66721,0.56764,0.62078,0.52253,0.77203,2.07497,1.08382,0.002811,0.002811,0.002811
9,349.732,0.70929,1.80418,1.03767,0.77043,0.58854,0.69134,0.58246,0.73636,1.78758,1.0566,0.002784,0.002784,0.002784
10,388.123,0.69041,1.63332,1.02531,0.74281,0.64921,0.72634,0.61261,0.71952,1.69563,1.06036,0.002757,0.002757,0.002757
11,426.522,0.67513,1.49956,1.01676,0.84201,0.62638,0.75381,0.64327,0.71043,1.52462,1.04285,0.00273,0.00273,0.00273
12,464.833,0.66311,1.38777,1.00751,0.81333,0.70025,0.79737,0.67335,0.70207,1.36,1.03511,0.002703,0.002703,0.002703
13,503.218,0.65536,1.2919,0.99522,0.79744,0.72262,0.79811,0.67532,0.69415,1.33172,1.02998,0.002676,0.002676,0.002676
14,541.527,0.64577,1.20632,0.98924,0.88921,0.73094,0.83514,0.70856,0.68502,1.22951,1.01855,0.002649,0.002649,0.002649
15,579.912,0.64021,1.13447,0.98788,0.86027,0.76299,0.84105,0.71958,0.66887,1.17093,1.01747,0.002622,0.002622,0.002622
16,618.18,0.63188,1.06919,0.98495,0.89812,0.71547,0.82836,0.70692,0.67652,1.14393,1.01349,0.002595,0.002595,0.002595
17,656.489,0.61929,1.02375,0.97943,0.92173,0.76786,0.86416,0.72889,0.67116,1.04999,1.01155,0.002568,0.002568,0.002568
18,694.592,0.61911,0.9583,0.97165,0.87426,0.78632,0.86935,0.73589,0.66492,1.0094,1.01375,0.002541,0.002541,0.002541
19,732.778,0.61438,0.91876,0.96633,0.91007,0.79878,0.88112,0.74886,0.65189,0.93656,0.99867,0.002514,0.002514,0.002514
