epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.8229,2.56993,5.99059,4.19202,0.00199,0.27303,0.0021,0.00066,2.5993,7.29465,4.12007,0.0806878,0.000597285,0.000597285
2,89.3392,2.55746,5.66153,4.02768,0.0013,0.22649,0.00099,0.00031,2.62605,8.79972,4.30489,0.061277,0.00118651,0.00118651
3,131.496,2.56355,5.47729,3.88624,0.07416,0.02805,0.00237,0.00084,2.62724,7.23065,3.98046,0.0418554,0.00176493,0.00176493
4,173.062,2.40883,5.06326,3.58811,0.35936,0.20401,0.08121,0.0524,2.26701,6.00931,3.32376,0.0224231,0.00233256,0.00233256
5,214.636,1.79769,3.94193,2.75938,0.30313,0.35678,0.14297,0.10673,1.82875,4.64812,2.60077,0.00297988,0.00288938,0.00288938
6,258.707,1.44353,3.34504,2.25071,0.18293,0.32767,0.17026,0.13608,1.5075,3.75878,2.20888,0.002865,0.002865,0.002865
7,342.229,1.21103,2.96586,1.93295,0.2558,0.41393,0.23154,0.18375,1.26535,3.11334,1.89185,0.002838,0.002838,0.002838
8,461.917,1.07896,2.69327,1.71865,0.26911,0.36244,0.25074,0.20722,1.15049,2.89133,1.72589,0.002811,0.002811,0.002811
9,582.141,0.99631,2.49104,1.59478,0.22923,0.47171,0.27137,0.21734,1.06656,2.67982,1.59899,0.002784,0.002784,0.002784
10,701.796,0.94203,2.33798,1.49684,0.25531,0.4523,0.27581,0.22284,1.04333,2.53688,1.54993,0.002757,0.002757,0.002757
11,808.383,0.90419,2.23634,1.43469,0.30715,0.45132,0.28491,0.22465,1.00728,2.40967,1.4841,0.00273,0.00273,0.00273
12,869.422,0.8857,2.12101,1.39184,0.30654,0.40486,0.31473,0.25363,0.92968,2.26871,1.38953,0.002703,0.002703,0.002703
13,915.673,0.84531,2.02767,1.34754,0.39927,0.46489,0.36616,0.29692,0.91474,2.14684,1.37367,0.002676,0.002676,0.002676
14,956.695,0.84186,1.94216,1.33016,0.32359,0.50241,0.38775,0.30968,0.88683,2.03311,1.33652,0.002649,0.002649,0.002649
15,998.112,0.82864,1.85877,1.30564,0.44051,0.44995,0.42477,0.34103,0.8896,1.98951,1.33795,0.002622,0.002622,0.002622
16,1039.66,0.81563,1.75116,1.28542,0.40448,0.5232,0.49366,0.40649,0.87248,1.78103,1.29944,0.002595,0.002595,0.002595
17,1080.49,0.79208,1.66688,1.2616,0.49467,0.49917,0.52667,0.43383,0.83292,1.65194,1.27035,0.002568,0.002568,0.002568
18,1121.46,0.7812,1.57028,1.24384,0.58317,0.4844,0.53421,0.44551,0.83895,1.62645,1.26978,0.002541,0.002541,0.002541
19,1162.67,0.77671,1.51191,1.23306,0.58313,0.53056,0.57142,0.47658,0.81982,1.52877,1.24721,0.002514,0.002514,0.002514
20,1204.24,0.76185,1.43811,1.21235,0.64217,0.53672,0.59588,0.49617,0.80227,1.49415,1.23287,0.002487,0.002487,0.002487
21,1245.44,0.75403,1.38732,1.20242,0.64463,0.53916,0.60418,0.50658,0.80244,1.43296,1.22461,0.00246,0.00246,0.00246
22,1286.53,0.7472,1.3476,1.19217,0.64388,0.54758,0.61713,0.5149,0.79908,1.41374,1.21982,0.002433,0.002433,0.002433
23,1328.17,0.7419,1.31056,1.18868,0.64476,0.55492,0.62005,0.51574,0.80719,1.38476,1.22292,0.002406,0.002406,0.002406
24,1369.72,0.73354,1.25785,1.18024,0.66055,0.55266,0.62263,0.51889,0.7818,1.34233,1.20178,0.002379,0.002379,0.002379
25,1410.83,0.71545,1.20966,1.16392,0.71349,0.56403,0.6457,0.5419,0.77408,1.31634,1.19983,0.002352,0.002352,0.002352
26,1452.18,0.72186,1.18991,1.16304,0.67875,0.55822,0.65444,0.55028,0.77096,1.27157,1.20467,0.002325,0.002325,0.002325
27,1493.55,0.72069,1.16258,1.15883,0.73877,0.61741,0.68994,0.58062,0.73925,1.19553,1.16504,0.002298,0.002298,0.002298
28,1534.95,0.70348,1.12847,1.14028,0.76083,0.57843,0.69692,0.58184,0.75481,1.15112,1.18158,0.002271,0.002271,0.002271
29,1576.93,0.6986,1.1031,1.13618,0.66645,0.6337,0.69024,0.57624,0.7516,1.17816,1.17196,0.002244,0.002244,0.002244
30,1618.93,0.69657,1.07819,1.13694,0.68623,0.6382,0.71166,0.59835,0.74119,1.12455,1.16659,0.002217,0.002217,0.002217
31,1660.95,0.68676,1.06397,1.12395,0.73318,0.64014,0.7223,0.6069,0.73775,1.09054,1.15567,0.00219,0.00219,0.00219
32,1702.83,0.69126,1.03763,1.12469,0.6831,0.65205,0.71614,0.59924,0.743,1.10811,1.15485,0.002163,0.002163,0.002163
33,1744.59,0.67454,1.01142,1.11084,0.66479,0.67237,0.73156,0.61309,0.73001,1.10202,1.14506,0.002136,0.002136,0.002136
34,1786.6,0.68149,0.99556,1.11623,0.79441,0.6193,0.74188,0.62884,0.71802,1.05633,1.1409,0.002109,0.002109,0.002109
35,1828.69,0.67146,0.97287,1.10799,0.76478,0.64482,0.7549,0.63716,0.71915,1.04121,1.14506,0.002082,0.002082,0.002082
36,1870.75,0.66951,0.95174,1.10073,0.75077,0.66754,0.75042,0.63173,0.71796,1.04541,1.14304,0.002055,0.002055,0.002055
37,1912.63,0.65626,0.92755,1.09497,0.76045,0.66885,0.75717,0.63675,0.72405,0.99924,1.1397,0.002028,0.002028,0.002028
38,1954.62,0.66207,0.91726,1.09965,0.83366,0.64895,0.77436,0.65171,0.70527,0.96,1.12728,0.002001,0.002001,0.002001
39,1996.67,0.65743,0.89515,1.08674,0.87084,0.64052,0.7791,0.65534,0.72658,0.96575,1.13859,0.001974,0.001974,0.001974
40,2038.6,0.65602,0.89593,1.08909,0.79248,0.6901,0.78441,0.66225,0.69892,0.96571,1.11888,0.001947,0.001947,0.001947
41,2080.48,0.64843,0.86504,1.08663,0.75684,0.70608,0.79237,0.66822,0.70177,0.95171,1.11334,0.00192,0.00192,0.00192
42,2122.47,0.63781,0.84695,1.07255,0.79462,0.70273,0.7924,0.66448,0.70685,0.93745,1.12173,0.001893,0.001893,0.001893
43,2164.43,0.63967,0.83669,1.07623,0.86132,0.68101,0.80343,0.68338,0.68844,0.91318,1.10868,0.001866,0.001866,0.001866
44,2206.4,0.63434,0.81723,1.07109,0.79323,0.71559,0.79838,0.66957,0.70482,0.89957,1.11478,0.001839,0.001839,0.001839
45,2248.24,0.6314,0.80414,1.06812,0.82125,0.69143,0.80188,0.67217,0.7058,0.92256,1.11762,0.001812,0.001812,0.001812
46,2290.16,0.63114,0.7888,1.06072,0.83055,0.72351,0.81385,0.68904,0.69261,0.8832,1.10713,0.001785,0.001785,0.001785
47,2332.32,0.62802,0.77507,1.06201,0.82841,0.7227,0.82037,0.68901,0.68842,0.86173,1.10352,0.001758,0.001758,0.001758
48,2374.13,0.62669,0.78187,1.06063,0.81876,0.74844,0.83039,0.70138,0.69028,0.86314,1.10538,0.001731,0.001731,0.001731
49,2416.09,0.61671,0.75863,1.05253,0.78542,0.75996,0.83081,0.69815,0.68605,0.81798,1.09873,0.001704,0.001704,0.001704
50,2458.12,0.61391,0.74289,1.05264,0.84841,0.70424,0.82337,0.70009,0.67622,0.83222,1.09364,0.001677,0.001677,0.001677
51,2500.14,0.61671,0.74885,1.0532,0.86811,0.71317,0.8362,0.70988,0.68524,0.82575,1.09507,0.00165,0.00165,0.00165
52,2542.06,0.61078,0.72249,1.04528,0.86902,0.73219,0.84002,0.71656,0.67074,0.81155,1.08751,0.001623,0.001623,0.001623
53,2584.13,0.61185,0.71505,1.05031,0.80214,0.77777,0.84854,0.71467,0.68444,0.80608,1.1004,0.001596,0.001596,0.001596
