epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.8908,2.55965,6.06175,4.35929,0.00158,0.32489,0.00212,0.00064,2.59994,7.62076,4.20159,0.0806878,0.000597285,0.000597285
2,166.989,2.57287,5.85616,4.22716,0.00173,0.35941,0.002,0.00064,2.62685,8.13958,4.45655,0.061277,0.00118651,0.00118651
3,247.491,2.59897,5.69879,4.10727,0.01504,0.01742,0.004,0.00086,2.61721,7.85155,4.40695,0.0418554,0.00176493,0.00176493
4,327.894,2.5802,5.51532,3.97601,0.00265,0.26789,0.00408,0.00142,2.57951,6.66497,3.91836,0.0224231,0.00233256,0.00233256
5,408.097,2.42872,5.0959,3.68346,0.3773,0.13578,0.08881,0.05928,2.2457,5.62066,3.31534,0.00297988,0.00288938,0.00288938
6,486.07,1.92363,4.17586,2.82728,0.34888,0.21725,0.13699,0.10612,1.8783,4.62375,2.63403,0.002865,0.002865,0.002865
7,564.601,1.59256,3.56956,2.30593,0.2659,0.40941,0.16548,0.13221,1.66851,3.84315,2.26209,0.002838,0.002838,0.002838
8,643.823,1.33912,3.15072,1.98579,0.24711,0.3328,0.19011,0.15311,1.43511,3.39719,1.99687,0.002811,0.002811,0.002811
9,724.063,1.14886,2.81471,1.77052,0.19513,0.43232,0.22767,0.18178,1.26207,3.03868,1.78734,0.002784,0.002784,0.002784
10,803.895,1.03514,2.57208,1.61579,0.28332,0.43177,0.23706,0.19132,1.14839,2.7479,1.64555,0.002757,0.002757,0.002757
11,884.494,0.96457,2.41285,1.52486,0.2562,0.49258,0.26505,0.21534,1.06391,2.49555,1.55813,0.00273,0.00273,0.00273
12,964.656,0.92913,2.27978,1.45305,0.22739,0.37941,0.25249,0.20248,1.01633,2.55275,1.50894,0.002703,0.002703,0.002703
13,1044.87,0.89539,2.16038,1.40081,0.26979,0.43406,0.28062,0.22246,0.97564,2.31291,1.43052,0.002676,0.002676,0.002676
14,1125.14,0.88192,2.09507,1.37938,0.2671,0.57089,0.3206,0.25449,0.94564,2.15245,1.40626,0.002649,0.002649,0.002649
15,1205.15,0.86132,2.01359,1.34558,0.2849,0.51627,0.31132,0.2473,0.93228,2.08396,1.3708,0.002622,0.002622,0.002622
16,1285.43,0.84746,1.94395,1.32239,0.32334,0.48729,0.33763,0.27086,0.92255,1.98661,1.35557,0.002595,0.002595,0.002595
17,1354.7,0.8234,1.87809,1.28899,0.34071,0.41616,0.35828,0.28632,0.87611,1.91926,1.30449,0.002568,0.002568,0.002568
18,1415.23,0.81843,1.81889,1.27057,0.41376,0.44203,0.40117,0.32702,0.84435,1.82784,1.2711,0.002541,0.002541,0.002541
19,1475.96,0.81814,1.78668,1.26733,0.4499,0.49366,0.44511,0.36474,0.8323,1.75452,1.273,0.002514,0.002514,0.002514
20,1536.54,0.8018,1.70191,1.2484,0.42186,0.48579,0.45626,0.37417,0.83493,1.69956,1.26438,0.002487,0.002487,0.002487
21,1597.21,0.78837,1.64349,1.23026,0.43787,0.47894,0.47342,0.38773,0.84763,1.67438,1.27021,0.00246,0.00246,0.00246
22,1657.85,0.78528,1.56913,1.22176,0.5084,0.45381,0.48696,0.39462,0.81089,1.62873,1.23286,0.002433,0.002433,0.002433
23,1718.54,0.78093,1.53363,1.2152,0.43458,0.53554,0.50431,0.40667,0.84654,1.59979,1.25802,0.002406,0.002406,0.002406
24,1779.29,0.76941,1.47271,1.21152,0.54799,0.49071,0.53421,0.44676,0.79806,1.48094,1.22789,0.002379,0.002379,0.002379
25,1829.55,0.76274,1.41042,1.1979,0.6707,0.4986,0.57644,0.48299,0.78063,1.44406,1.20308,0.002352,0.002352,0.002352
26,1870.98,0.75273,1.36666,1.19205,0.67372,0.49297,0.59036,0.49429,0.78181,1.38167,1.20865,0.002325,0.002325,0.002325
27,1912.26,0.74853,1.34307,1.18277,0.64361,0.55709,0.61326,0.51045,0.76485,1.37761,1.18424,0.002298,0.002298,0.002298
28,1953.57,0.73292,1.28496,1.16632,0.6782,0.54477,0.63157,0.52744,0.76089,1.32151,1.17419,0.002271,0.002271,0.002271
29,1994.83,0.73144,1.24569,1.16428,0.6699,0.53894,0.62089,0.51831,0.77341,1.28975,1.18695,0.002244,0.002244,0.002244
30,2036.04,0.72697,1.22206,1.16235,0.64144,0.58445,0.64075,0.53726,0.75137,1.25006,1.17353,0.002217,0.002217,0.002217
31,2077.52,0.71916,1.18413,1.15483,0.66344,0.56502,0.64347,0.53929,0.7597,1.28163,1.17064,0.00219,0.00219,0.00219
32,2118.86,0.72195,1.15734,1.15302,0.72441,0.57436,0.68117,0.57459,0.74137,1.14985,1.15989,0.002163,0.002163,0.002163
33,2160.04,0.71308,1.12543,1.14226,0.72904,0.5935,0.6759,0.5668,0.75054,1.18724,1.15612,0.002136,0.002136,0.002136
34,2201.14,0.70424,1.12026,1.14124,0.6993,0.62648,0.68977,0.58238,0.7338,1.15274,1.15937,0.002109,0.002109,0.002109
35,2242.55,0.70059,1.08352,1.13513,0.69175,0.58747,0.68068,0.57625,0.72643,1.1546,1.14118,0.002082,0.002082,0.002082
36,2283.9,0.70075,1.06781,1.13312,0.69421,0.61528,0.68677,0.58054,0.71276,1.1425,1.13542,0.002055,0.002055,0.002055
37,2325.07,0.68747,1.03732,1.12265,0.75165,0.59226,0.70278,0.58331,0.75409,1.12907,1.1665,0.002028,0.002028,0.002028
38,2366.51,0.68938,1.02804,1.12633,0.76398,0.59176,0.71275,0.59821,0.72613,1.08531,1.14618,0.002001,0.002001,0.002001
39,2407.74,0.68308,1.00379,1.11173,0.72834,0.64477,0.72776,0.61411,0.71553,1.04498,1.12962,0.001974,0.001974,0.001974
40,2449.02,0.68189,1.00195,1.11366,0.74588,0.64763,0.7191,0.60588,0.72577,1.09111,1.14038,0.001947,0.001947,0.001947
41,2490.15,0.67767,0.97022,1.10992,0.71372,0.67883,0.72242,0.60589,0.73709,1.09798,1.1463,0.00192,0.00192,0.00192
42,2531.25,0.66773,0.95515,1.10121,0.72753,0.65496,0.73422,0.62268,0.72488,1.00595,1.13782,0.001893,0.001893,0.001893
43,2572.46,0.67098,0.93632,1.10472,0.75373,0.63515,0.73449,0.61946,0.70654,0.99524,1.11701,0.001866,0.001866,0.001866
44,2613.67,0.66261,0.9289,1.095,0.72399,0.6556,0.74185,0.62637,0.7056,1.0011,1.1203,0.001839,0.001839,0.001839
45,2654.89,0.65039,0.90006,1.08734,0.82643,0.61663,0.75073,0.63404,0.70417,0.98214,1.11886,0.001812,0.001812,0.001812
46,2695.89,0.655,0.89299,1.08625,0.78868,0.6625,0.76221,0.64636,0.71796,0.94672,1.12641,0.001785,0.001785,0.001785
47,2737,0.65645,0.87719,1.0887,0.79212,0.66498,0.7661,0.64903,0.69879,0.96124,1.11,0.001758,0.001758,0.001758
48,2778.21,0.65066,0.87208,1.08681,0.79527,0.68015,0.78148,0.66013,0.70311,0.93787,1.1136,0.001731,0.001731,0.001731
49,2819.46,0.6446,0.85213,1.07438,0.7619,0.67865,0.76531,0.65142,0.70121,0.93299,1.11306,0.001704,0.001704,0.001704
50,2860.52,0.64202,0.85139,1.08055,0.77008,0.68886,0.77026,0.65527,0.6917,0.92547,1.10694,0.001677,0.001677,0.001677
51,2901.77,0.64364,0.83606,1.07686,0.8764,0.64103,0.77643,0.65891,0.69556,0.92911,1.10344,0.00165,0.00165,0.00165
52,2942.89,0.63684,0.82181,1.0675,0.76837,0.71372,0.7858,0.66561,0.70306,0.92091,1.11308,0.001623,0.001623,0.001623
53,2984.09,0.63743,0.82145,1.07541,0.79889,0.69394,0.79204,0.67125,0.68917,0.88374,1.10319,0.001596,0.001596,0.001596
54,3025.48,0.62676,0.79456,1.06413,0.78127,0.7017,0.78807,0.66601,0.69896,0.88642,1.10493,0.001569,0.001569,0.001569
